cycle,router,eject,eject_sources,arrive,forward
281,"(1,0)",1,153,1,1
285,"(1,0)",1,152,1,1
289,"(1,0)",1,151,1,1
293,"(1,0)",1,150,1,1
297,"(1,0)",1,149,1,1
301,"(1,0)",1,148,1,1
305,"(1,0)",1,147,1,1
309,"(1,0)",1,146,1,1
313,"(1,0)",1,145,1,1
321,"(1,0)",1,133,1,1
325,"(1,0)",1,134,1,1
329,"(1,0)",1,135,1,1
333,"(1,0)",1,136,1,1
337,"(1,0)",1,137,1,1
341,"(1,0)",1,138,1,1
345,"(1,0)",1,139,1,1
349,"(1,0)",1,140,1,1
353,"(1,0)",1,141,1,1
357,"(1,0)",1,142,1,1
361,"(1,0)",1,143,1,1
369,"(1,0)",1,131,1,1
373,"(1,0)",1,130,1,1
377,"(1,0)",1,129,1,1
381,"(1,0)",1,128,1,1
385,"(1,0)",1,127,1,1
389,"(1,0)",1,126,1,1
393,"(1,0)",1,125,1,1
397,"(1,0)",1,124,1,1
401,"(1,0)",1,123,1,1
405,"(1,0)",1,122,1,1
409,"(1,0)",1,121,1,1
417,"(1,0)",1,109,1,1
421,"(1,0)",1,110,1,1
425,"(1,0)",1,111,1,1
429,"(1,0)",1,112,1,1
433,"(1,0)",1,113,1,1
437,"(1,0)",1,114,1,1
441,"(1,0)",1,115,1,1
445,"(1,0)",1,116,1,1
449,"(1,0)",1,117,1,1
453,"(1,0)",1,118,1,1
457,"(1,0)",1,119,1,1
465,"(1,0)",1,107,1,1
469,"(1,0)",1,106,1,1
473,"(1,0)",1,105,1,1
477,"(1,0)",1,104,1,1
481,"(1,0)",1,103,1,1
485,"(1,0)",1,102,1,1
489,"(1,0)",1,101,1,1
493,"(1,0)",1,100,1,1
497,"(1,0)",1,99,1,1
501,"(1,0)",1,98,1,1
505,"(1,0)",1,97,1,1
513,"(1,0)",1,85,1,1
517,"(1,0)",1,86,1,1
521,"(1,0)",1,87,1,1
525,"(1,0)",1,88,1,1
529,"(1,0)",1,89,1,1
533,"(1,0)",1,90,1,1
537,"(1,0)",1,91,1,1
541,"(1,0)",1,92,1,1
545,"(1,0)",1,93,1,1
549,"(1,0)",1,94,1,1
553,"(1,0)",1,95,1,1
561,"(1,0)",1,83,1,1
565,"(1,0)",1,82,1,1
569,"(1,0)",1,81,1,1
573,"(1,0)",1,80,1,1
577,"(1,0)",1,79,1,1
581,"(1,0)",1,78,1,1
585,"(1,0)",1,77,1,1
589,"(1,0)",1,76,1,1
593,"(1,0)",1,75,1,1
597,"(1,0)",1,74,1,1
601,"(1,0)",1,73,1,1
609,"(1,0)",1,61,1,1
613,"(1,0)",1,62,1,1
617,"(1,0)",1,63,1,1
621,"(1,0)",1,64,1,1
625,"(1,0)",1,65,1,1
629,"(1,0)",1,66,1,1
633,"(1,0)",1,67,1,1
637,"(1,0)",1,68,1,1
641,"(1,0)",1,69,1,1
645,"(1,0)",1,70,1,1
649,"(1,0)",1,71,1,1
657,"(1,0)",1,59,1,1
661,"(1,0)",1,58,1,1
665,"(1,0)",1,57,1,1
669,"(1,0)",1,56,1,1
673,"(1,0)",1,55,1,1
677,"(1,0)",1,54,1,1
681,"(1,0)",1,53,1,1
685,"(1,0)",1,52,1,1
689,"(1,0)",1,51,1,1
693,"(1,0)",1,50,1,1
697,"(1,0)",1,49,1,1
705,"(1,0)",1,37,1,1
709,"(1,0)",1,38,1,1
713,"(1,0)",1,39,1,1
717,"(1,0)",1,40,1,1
721,"(1,0)",1,41,1,1
725,"(1,0)",1,42,1,1
729,"(1,0)",1,43,1,1
733,"(1,0)",1,44,1,1
737,"(1,0)",1,45,1,1
741,"(1,0)",1,46,1,1
745,"(1,0)",1,47,1,1
753,"(1,0)",1,35,1,1
757,"(1,0)",1,34,1,1
761,"(1,0)",1,33,1,1
765,"(1,0)",1,32,1,1
769,"(1,0)",1,31,1,1
773,"(1,0)",1,30,1,1
777,"(1,0)",1,29,1,1
781,"(1,0)",1,28,1,1
785,"(1,0)",1,27,1,1
789,"(1,0)",1,26,1,1
793,"(1,0)",1,25,1,1
801,"(1,0)",1,13,1,1
805,"(1,0)",1,14,1,1
809,"(1,0)",1,15,1,1
813,"(1,0)",1,16,1,1
817,"(1,0)",1,17,1,1
821,"(1,0)",1,18,1,1
825,"(1,0)",1,19,1,1
829,"(1,0)",1,20,1,1
833,"(1,0)",1,21,1,1
837,"(1,0)",1,22,1,1
841,"(1,0)",1,23,1,1
849,"(1,0)",1,11,1,1
853,"(1,0)",1,10,1,1
857,"(1,0)",1,9,1,1
861,"(1,0)",1,8,1,1
865,"(1,0)",1,7,1,1
869,"(1,0)",1,6,1,1
873,"(1,0)",1,5,1,1
877,"(1,0)",1,4,1,1
881,"(1,0)",1,3,1,1
885,"(1,0)",1,2,1,0
1,"(2,0)",0,—,0,1
5,"(2,0)",1,1,1,1
9,"(2,0)",1,0,1,1
17,"(2,0)",1,12,1,1
25,"(2,0)",1,24,1,1
33,"(2,0)",1,36,1,1
41,"(2,0)",1,48,1,1
49,"(2,0)",1,60,1,1
57,"(2,0)",1,72,1,1
65,"(2,0)",1,84,1,1
73,"(2,0)",1,96,1,1
81,"(2,0)",1,108,1,1
89,"(2,0)",1,120,1,1
97,"(2,0)",1,132,1,1
105,"(2,0)",1,144,1,1
113,"(2,0)",1,156,1,1
121,"(2,0)",1,168,1,1
129,"(2,0)",1,180,1,1
133,"(2,0)",1,181,1,1
137,"(2,0)",1,182,1,1
141,"(2,0)",1,183,1,1
145,"(2,0)",1,184,1,1
149,"(2,0)",1,185,1,1
153,"(2,0)",1,186,1,1
157,"(2,0)",1,187,1,1
161,"(2,0)",1,188,1,1
165,"(2,0)",1,189,1,1
169,"(2,0)",1,190,1,1
173,"(2,0)",1,191,1,1
181,"(2,0)",1,179,1,1
185,"(2,0)",1,178,1,1
189,"(2,0)",1,177,1,1
193,"(2,0)",1,176,1,1
197,"(2,0)",1,175,1,1
201,"(2,0)",1,174,1,1
205,"(2,0)",1,173,1,1
209,"(2,0)",1,172,1,1
213,"(2,0)",1,171,1,1
217,"(2,0)",1,170,1,1
221,"(2,0)",1,169,1,1
229,"(2,0)",1,157,1,1
233,"(2,0)",1,158,1,1
237,"(2,0)",1,159,1,1
241,"(2,0)",1,160,1,1
245,"(2,0)",1,161,1,1
249,"(2,0)",1,162,1,1
253,"(2,0)",1,163,1,1
257,"(2,0)",1,164,1,1
261,"(2,0)",1,165,1,1
265,"(2,0)",1,166,1,1
269,"(2,0)",1,167,1,1
